5,505,388,0
6,137,919,2
7,747,518,1
8,183,61,0
9,938,347,1
10,864,925,2
11,893,972,2
12,741,338,1
13,562,250,0
14,552,807,2
15,551,662,2
16,778,732,2
17,894,44,1
18,252,315,0
19,394,365,0
20,744,265,1
21,979,320,1
22,505,495,0
23,678,283,1
24,262,833,2
115,854,378,1
126,776,423,1
132,694,837,2
135,376,465,0
136,542,327,0
25,42,322,1
26,294,413,1
27,25,336,1
28,795,799,0
29,635,80,2
30,905,93,2
31,932,749,0
32,465,261,1
33,276,93,1
34,754,631,0
35,100,484,1
36,222,80,1
37,825,208,2
38,502,723,0
39,993,298,2
40,791,16,2
41,118,609,1
42,20,65,1
43,231,456,1
44,111,577,1
106,341,130,1
107,775,183,2
110,273,974,0
133,547,539,0
142,731,47,2
144,26,836,1
45,606,81,0
46,22,355,2
47,716,397,0
48,185,418,2
49,990,959,1
50,441,869,1
51,607,874,1
52,545,395,0
53,132,406,2
54,840,834,1
55,528,362,0
56,770,627,1
57,718,960,1
58,459,63,0
59,636,768,1
60,750,144,0
61,450,477,0
62,684,593,1
63,428,724,1
64,637,992,1
108,693,356,0
122,198,410,2
129,603,231,0
134,317,344,2
139,36,381,2
140,96,748,2
143,756,786,1
65,754,912,2
66,17,278,1
67,422,7,1
68,664,879,2
69,270,567,0
70,876,567,2
71,76,856,0
72,301,708,0
73,621,743,2
74,755,953,2
75,595,239,1
76,400,607,0
77,214,941,0
78,611,789,2
79,484,346,1
80,312,290,1
81,85,24,1
82,493,469,1
83,990,835,2
84,131,856,0
109,53,581,0
112,379,86,1
113,544,432,1
117,401,956,0
119,832,833,2
120,29,835,0
127,27,199,1
128,379,312,1
137,148,591,0
141,869,799,2
85,31,6,2
86,768,181,1
87,808,637,0
88,531,369,1
89,542,371,1
90,494,716,0
91,673,332,1
92,879,816,0
93,285,87,2
94,754,40,1
95,731,402,1
96,561,298,1
97,134,722,2
98,23,618,2
99,807,881,0
100,719,540,0
101,21,326,2
102,888,708,0
103,949,193,1
104,840,78,1
105,441,535,2
111,227,617,2
114,239,606,2
116,332,85,2
118,153,51,2
121,904,460,1
123,989,911,0
124,996,837,0
125,413,326,2
130,795,890,0
131,283,693,2
138,932,623,0
